Entidad o Division,Titulo de Investigación,ids,Periodo,Detalle de Investigación,palabras clave,Decálogo,Gobernanza y capacidades TOPP,Sectores impulsores,Brechas Atendidas,Sectores Atendidos,Preguntas Agenda Común,Tópicos CEPAL
DRN,Economía de los recursos naturales extractivos,DRN-25/26-4,25/26,Estudio sobre el uso de precios de transferencia en la actividad minera de litio y cobre. Preguntas de investigación: ¿Cuáles son brechas en los marcos normativos y los regímenes fiscales en el tratamiento de los precios de transferencia respecto a los estándares internacionales y las mejores prácticas? ¿Cuáles son las principales prácticas (legales) abusivas de las empresas mineras que son miembros de multinacionales para la erosión de la base imponible y el traslado de utilidades? ¿Qué recomendaciones de mejores prácticas y cambios en los marcos regulatorios y regímenes fiscales pueden ser propuestos para mejorar el tratamiento de los precios de transferencia?,"economía, recursos naturales, minería, litio, cobre, precios de transferencia, marcos normativos, regímenes fiscales, estándares internacionales, prácticas abusivas, multinacionales, erosión de la base imponible, traslado de utilidades, recomendaciones de mejores prácticas, cambios regulatorios","Brecha o desafíos del desarrollo atendidos: 5) Desarrollo ambientalmente no sostenible y cambio climático; 10) Espacios fiscales limitados. El estudio evaluará y propondrá lineamientos para la mejora en los marcos normativos y regímenes fiscales para el tratamiento de precios de transferencia en la industria minera de litio y cobre de Argentina, Chile y Perú. El estudio propone identificar y analizar las diferencias y similitudes entre los estándares internacionales sobre precios de transferencia aplicables a la industria minera de litio y cobre.","Capacidades técnicas: Comprender de mejor manera el tratamiento de precios de transferencia de la actividad minera (en particular para el cobre y litio), en distintos niveles: normativo, fiscal, de control y supervisión; y en la prevención de la erosión de la base imponible y el traslado indebido de utilidades. Capacidades operativas: Fortalecimiento de las capacidades para mejorar la regulación y el control de prácticas abusivas en los precios de transferencias de empresas mineras de cobre y litio.","Sectores impulsores: 8) Transición energética: energías renovables, hidrógeno verde, litio. 10) Espacios fiscales limitados","1, 5, 10","4, 8",,"ASUNTOS FISCALES, RECURSOS NATURALES, RECURSOS MINEROS, GOBERNANZA DE LOS RECURSOS NATURALES, ESTADÍSTICAS ECONÓMICAS, MACROECONOMÍA, COMERCIO INTERNACIONAL"
DRN,Gobernanza de los recursos naturales,DRN-25/26-5,25/26,"Estudio sobre litio, un recurso estratégico, gobernanza, redes globales de producción y sostenibilidad. Este estudio busca ahondar en las siguientes preguntas de investigación: ¿Qué es el recurso litio y cuál su rol como recurso crítico y estratégico para la transición energética? ¿Cuál es el papel del litio para un modelo de desarrollo más productivo, inclusivo y sostenible, alineado con la Agenda 2030 para el Desarrollo Sostenible? ¿Cuáles son políticas públicas orientadas al desarrollo de la electromovilidad y a la transición energética? ¿Qué modos de gobernanza, mecanismos de coordinación y capacidades TOPP se requieren para promover y fortalecer la explotación e industrialización del litio en los países ricos en este mineral? ¿Cuáles son los desafíos y oportunidades en términos de transparencia y sustentabilidad ambiental y social en la minería del litio?","recursos naturales, litio, gobernanza, producción, sostenibilidad, transición energética, desarrollo sostenible, electromovilidad, políticas públicas, coordinación, explotación, industrialización, minería, transparencia, ambiente, social","Brecha o desafíos del desarrollo atendidos: 5) Desarrollo ambientalmente no sostenible y cambio climático.  El estudio realizará un análisis introductorio a temas fundamentales que conciernen a este recurso mineral. Desde aspectos geológicos, tecnológicos, contractuales, productivos, de mercado, de las redes globales de producción vinculadas a la electromovilidad, tributarios, de transparencia, normativos y de regulación. El estudio busca contribuir en documentar estos elementos relevantes que deben considerarse para una gobernanza del litio más sostenible.","Gobernanza de las políticas públicas: brindar un marco normativo y conceptual que permita a los países de la región ricos en el recurso litio para el diseño e implementación de una política de desarrollo productivo que promueva la agregación de valor, la diversificación productiva, la innovación, la generación de vínculos productivos y el escalamiento en las cadenas de suministro y valor. Capacidades técnicas: brindar conocimientos e información sobre la industria del litio, en las dimensiones productivas, fiscales, sociales y ambientales; y en las dimensiones relevantes para una explotación más sostenible del recurso. Capacidades de política: Creación de capacidades para la formulación de políticas públicas que aporten más eficazmente al desarrollo sostenible de la región.","Sectores impulsores: 8) Transición energética: energías renovables, hidrógeno verde, litio; 9) Electromovilidad; 15) Reacomodo geográfico de la producción y de las cadenas de valor a nivel mundial.","1, 5","4, 8, 9, 15",¿Qué tipo de gobernanza se requiere para la definición e implementación de la estrategia y de la agenda de desarrollo productivo sobre un determinado sector? ¿Qué tipo de capacidades TOPP?,"GOBERNANZA DE LOS RECURSOS NATURALES, DESARROLLO SOSTENIBLE, ENERGÍA, CAMBIO CLIMÁTICO, RECURSOS NATURALES, POLÍTICA COMERCIAL Y ACUERDOS COMERCIALES, MEDIO AMBIENTE"
DRN,Cadenas de valor en el sector minero,DRN-25/26-6,25/26,"Estudio sobre economía circular en la minería en los países andinos. Preguntas de investigación: ¿Es posible gestionar de manera sostenible los residuos mineros? ¿Qué requerimientos institucionales y normativos son necesarios para implementar la economía circular en la minería? ¿Cómo la Investigación, desarrollo e innovación (I+D+i) contribuye a la viabilidad de proyectos de economía circular en la minería? ¿Cuáles son los instrumentos para incentivar la inversión en la economía circular? ¿Cómo cuantificar y valorar la circularidad en las prácticas mineras? ¿Qué modos de gobernanza, mecanismos de coordinación y capacidades TOPP se requieren para promover y fortalecer la economía circular en los países andinos?","economía circular, minería, residuos mineros, sostenibilidad, innovación, inversión, gobernanza, coordinación, capacidades","Brecha o desafíos del desarrollo atendidos: 5) Desarrollo ambientalmente no sostenible y cambio climático; El estudio propondrá elementos habilitantes para implementar la economía circular, en el contexto de la transición energética y el desarrollo sostenible de los países andinos.","Capacidades técnicas: conocimiento sobre las dimensiones económica, social, ambiental e institucional de las brechas y oportunidades para implementar los conceptos de la economía circular en la minería de los países andinos y su rol en el desarrollo sostenible. Capacidades políticas: armonización institucional y concordancia de los sistemas productivos y de consumo hacia el desarrollo de estrategias de economía circular.","Sectores impulsores: 8) Transición energética: energías renovables, hidrógeno verde, litio; 9) Electromovilidad; 10) Economía circular.","1, 5","4, 8, 9, 10",¿Cuál es la importancia económica del sector en los países de la región en la actualidad y qué importancia tienen en términos de empleo y/o sostenibilidad ambiental? ¿Y cuál se espera podría tener?,"ECONOMÍA CIRCULAR, RECURSOS MINEROS, DESARROLLO SOSTENIBLE, GOBERNANZA DE LOS RECURSOS NATURALES, INNOVACIÓN CIENCIA Y TECNOLOGÍA, CADENAS DE VALOR, CAMBIO ESTRUCTURAL"
DRN,Economía de los recursos naturales extractivos,DRN-25/26-7,25/26,Estudio sobre la pequeña minería y su rol en la transición energética. ¿Cuál es la institucionalidad y el marco normativo que regula la actividad de la pequeña minería? ¿Cuál es la importancia económica y social de la pequeña minería y cuáles son los principales problemas que enfrenta la producción de minerales críticos de este sector? ¿Cuáles son los principales impactos sociales y ambientales de la producción de minerales críticos de la pequeña minería? ¿Qué oportunidades y desafíos tiene la pequeña minería para el suministro responsable y sostenible de minerales críticos para la transición energética?,"recursos naturales, minería, transición energética, institucionalidad, marco normativo, economía, producción minerales, impactos sociales, impactos ambientales, suministro responsable, sostenibilidad",Brecha o desafíos del desarrollo atendidos: 5) Desarrollo ambientalmente no sostenible y cambio climático.  El estudio contribuirá al debate sobre el rol que tiene y puede tener la pequeña minería de los países andinos en la explotación de minerales críticos para la transición energética.,"Gobernanza de las políticas públicas: contribuir con el entendimiento de las dinámicas de la gobernanza de la pequeña minería, caracterizando la toma de decisiones de política públicas.  Capacidades técnicas: conocimientos sobre el estado de situación de las dimensiones económica, productiva e institucional de la pequeña minería de los países andinos y su rol en la producción de minerales críticos para la transición energética. Conocimiento técnico especifico de las políticas, regulaciones e incentivos, las capacidades TOPP y las estrategias para que la pequeña minería de los países andinos tenga un mejor rol en la explotación de minerales críticos para la transición energética.","Sectores impulsores: 8) Transición energética: energías renovables, hidrógeno verde, litio; 9) Electromovilidad.","1, 5","4, 8, 9",¿Cuál es la importancia económica del sector en los países de la región en la actualidad y qué importancia tienen en términos de empleo y/o sostenibilidad ambiental? ¿Y cuál se espera podría tener?,"RECURSOS NATURALES, GOBERNANZA DE LOS RECURSOS NATURALES, MEDIO AMBIENTE, DESARROLLO SOSTENIBLE, ENERGÍA, CAMBIO CLIMÁTICO, DESARROLLO INCLUSIVO, RECURSOS MINEROS"
DRN,Gobernanza de los recursos naturales,DRN-25/26-8,25/26,"Análisis de la gobernanza de la minería submarina y sus potenciales consecuencias ambientales, en el marco de la transición energética en los países de la región andina ¿Qué es la minería submarina?  ¿Cuál es su relación con la provisión de minerales críticos para la transición energética? ¿Es imprescindible avanzar en el mediano plazo en la minería marina, dada la existencia de minería terrestre? ¿Cómo y dónde se está implementando? ¿Quiénes se benefician de las rentas económicas de este tipo de explotación? ¿Qué impactos genera sobre el ecosistema marino y el medio ambiente?  ¿Existen normativas asociadas a minería submarina? ¿Quién y cómo se regula la exploración y explotación de los fondos marinos? ¿Se consideran altos estándares ambientales en las regulaciones que existen? ¿Existen experiencias exitosas en minimizar sus impactos a nivel internacional?  ¿Existen experiencias de gobernanza nacionales e internacionales de esta minería?","recursos naturales, minería submarina, transición energética, minerales críticos, medio ambiente, ecosistema marino, normativas ambientales, exploración, explotación, fondos marinos, gobernanza",Brecha o desafíos del desarrollo atendidos: 5) Desarrollo ambientalmente no sostenible y cambio climático. El estudio contribuirá al debate sobre el rol de la minería submarina en la explotación de minerales críticos para la transición energética y sus efectos en el ambiente marino y el desarrollo sostenible. Análisis de trade-off entre la productividad e impacto ambiental de la minería terrestre y la submarina.,"Conocimiento de los modos de gobernanza nacionales e internacionales de la minería submarina. Capacidades técnicas: conocimiento sobre la gobernanza e institucionalidad de la minería submarina, así como sus principales consecuencias sobre los ecosistemas marino-costeros. Capacidades de políticas públicas: recomendaciones para la toma de decisiones en políticas, normas y regulaciones y para formular una estrategia regional que considere el desarrollo sostenible y la protección de los océanos, en el contexto de la transición energética.","Sectores impulsores: 8) Transición energética: energías renovables, hidrógeno verde, litio. 9) Electromovilidad.","1, 5","4, 8, 9",,"GOBERNANZA DE LOS RECURSOS NATURALES, MEDIO AMBIENTE, CAMBIO CLIMÁTICO, RECURSOS MINEROS, ENERGÍA, DESARROLLO SOSTENIBLE, REGULACIÓN"
DRN,Encadenamientos productivos de la industria minera,DRN-WL-1,WL,"Estudio sobre los impactos directos e indirectos de los encadenamientos productivos de la industria minera del litio. Preguntas de investigación: ¿Cuáles son los encadenamientos productivos asociados al litio? ¿Cuáles son los impactos directos e indirectos que genera la minería del litio? ¿Qué modos de gobernanza, mecanismos de coordinación y capacidades TOPP se requieren para promover y fortalecer los encadenamientos productivos de la industria minera el litio?","industria minera, litio, encadenamientos productivos, impactos ambientales, gobernanza, coordinación, capacidades topp",Brecha o desafíos del desarrollo atendidos:  5) Desarrollo ambientalmente no sostenible y cambio climático; 8) Insuficiente integración económica regional. El estudio identificará y cuantificará los impactos directos e indirectos que genera la actividad minera del litio.,Modos de gobernanza de la política de fomento de los encadenamientos productivos de la minería del litio. Capacidades técnicas: conocimiento sobre los encadenamientos productivos de la minería de litio.,"Sectores impulsores: 8) Transición energética: energías renovables, hidrógeno verde, litio; 9) Electromovilidad; 15) Reacomodo geográfico de la producción y de las cadenas de valor a nivel mundial.","1, 5, 8","4, 8, 9, 15",¿Qué tipo de gobernanza y de capacidades TOPP se requieren para la definición de estas prioridades productivas?,"RECURSOS MINEROS, CADENAS DE VALOR, DESARROLLO INDUSTRIAL, GOBERNANZA DE LOS RECURSOS NATURALES, PRODUCTIVIDAD, DESARROLLO SOSTENIBLE, INNOVACIÓN Y DIVERSIFICACIÓN EXPORTADORA"
DE,"Como parte del proceso de actualización de la estructura de las líneas de pobreza por ingresos de la CEPAL, se espera responder a las preguntas sobre cómo han cambiado los patrones de consumo de los países de la región y el costo de satisfacer las necesidades básicas. ",DE-25/26-1,25/26,,"medición pobreza, estadísticas","Asociado al tema de desigualdad, dado que la pobreza corresponde a una situación particular de exclusión social y baja movilidad.",Fortalecimiento a las capacidades técnicas de las Oficinas Nacionales de Estadística en la construcción de líneas de pobreza y análisis de datos,"Transversal, no asociado a un sector en particular",2,4,,"POBREZA,  DISTRIBUCIÓN DEL INGRESO, ESTADÍSTICAS ECONÓMICAS, ESTADÍSTICAS SOCIALES"
DE,Continuación de la investigación sobre conciliación entre fuentes para la medición de la desigualdad del ingreso. ,DE-25/26-2,25/26,"Se espera extender el proceso para aplicarlo a la distribución del consumo y el ahorro, consistentes con cuentas nacionales.","desigualdad del ingreso, conciliación de fuentes, medición, distribución del consumo, ahorro, cuentas nacionales",Desigualdad del ingreso,Fortalecimiento a las capacidades técnicas de las Oficinas Nacionales de Estadística en la estimación de desigualdad,"Transversal, no asociado a un sector en particular",2,,Distribución del ingreso: ¿Qué rol juega el sistema educativo en la perpetuación o reducción de la desigualdad del ingreso?,"DESIGUALDAD, DISTRIBUCIÓN DEL INGRESO, CUENTAS NACIONALES, ESTADÍSTICAS ECONÓMICAS, ESTADÍSTICAS SOCIALES"
DE,La División mantiene una línea de investigación continua asociada al desarrollo de métodos estadísticos de estimación en áreas pequeñas y modelos de predicción de pobreza y otras variables de condiciones de vida.Se espera abordar preguntas relacionadas a: ,DE-25/26-3,25/26,¿Cómo cambian los modelos de predicción de pobreza y otros indicadores de condiciones de vida cuando incorporamos información con alto grado de detalle geográfico? ¿En qué medida modelos de machine learning permiten obtener mejores predicciones de las variables de interés?,"estimación, métodos estadísticos, áreas pequeñas, modelos de predicción, pobreza, condiciones de vida, información geográfica, machine learning","Desigualdad, datos desagregados para distintos grupos, en línea con el mandato de “no dejar a nadie atrás”",Fortalecimiento a las capacidades técnicas de las Oficinas Nacionales de Estadística en el uso de modelos estadísticos para la desagregación de datos e integración de fuentes de información.,"Transversal, no asociado a un sector en particular",2,,,"POBREZA, ESTADÍSTICAS SOCIALES, CIENCIA DE DATOS, MÉTODOS Y CLASIFICACIONES INTERNACIONALES, INDICADORES ECONÓMICOS Y PROYECCIONES"
DE,Potenciar el uso de imágenes satelitales para aumentar la disponibilidad de información en el ecosistema de datos de la CEPAL. ,DE-25/26-4,25/26,El estudio busca responder a la siguiente pregunta: ¿Cómo disponer de más y mejores datos para analizar las causas asociadas y los efectos del cambio climático en la región? ,"imágenes satelitales, datos espaciales, cambio climático, análisis de causas, efectos ambientales, disponibilidad de información, ecosistema de datos",Desarrollo ambientalmente no sostenible y cambio climático,"Se espera fortalecer las capacidad técnicas y operativas internas para lograr procesos de producción y análisis de datos más eficaces y eficientes, así como dar asistencia técnica a los estados miembros en el uso de las tecnologías asociadas a estos procesos.  Desarrollo de aplicaciones replicables, IDE CEPAL.",Exportación de servicios modernos o habilitados por las TIC.,"1, 5",4,,"CAMBIO CLIMÁTICO, INFORMACIÓN GEOESPACIAL, CIENCIA DE DATOS, BIG DATA, ESTADÍSTICAS AMBIENTALES"
DE,"Análisis de soluciones para el almacenamiento, organización y gestión de los activos de datos de la CEPAL",DE-25/26-5,25/26,El estudio busca conocer y definir una estrategia de gobernanza y tecnología para la implementación del lago de datos de la CEPAL,"datos, almacenamiento, organización, gestión, activos, gobernanza, tecnología, lago de datos",,"Se espera fortalecer las capacidad técnicas y operativas internas para lograr procesos más eficaces y eficientes, así como dar asistencia técnica a los estados miembros en el uso de estas tecnologías.  Almacenamiento de datos, data lake house, datos estructurados y no estructurados, linaje de datos.",,,,,"BIG DATA, CIENCIA DE DATOS, GESTIÓN DEL CONOCIMIENTO, INNOVACIÓN ESTADÍSTICA, PLANIFICACIÓN, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC)"
DE,La División mantiene una línea de trabajo continuo para el cálculo de Paridades de Poder Adquisitivo de los países de América Latina y el Caribe.,DE-25/26-6,25/26,,"medición ppa, estadísticas, paridad de poder adquisitivo","1) Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal; 2) Alta desigualdad y baja movilidad y cohesión sociales",Fortalecimiento a las capacidades técnicas de las Oficinas Nacionales de Estadística y Bancos Centrales para la compilación de los requerimientos necesarios para el cómputo de las PPA  y los índices de niveles de precios para el PIB y sus componentes al mayor nivel de detalle,"Transversal, no asociado a un sector en particular","1, 2",4,,"ESTADÍSTICAS ECONÓMICAS, CUENTAS NACIONALES, INDICADORES ECONÓMICOS Y PROYECCIONES, MACROECONOMÍA, PRECIOS, COMERCIO INTERNACIONAL"
DE,"La División desea mantener y expandir la Base de datos de encuestas económicas BADECON para los países de la región con base de microdatos de encuestas industriales, servicios (comercio) y otros sectores como el agrícola.",DE-25/26-7,25/26,,"base de datos, encuestas económicas, microdatos, encuestas industriales, sector agrícola","1) Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal;","Se espera contar con información armonizada, granular y actualizada de obtenida de encuestas económicas (industria y servicios de comercio ) que sirvan de insumo para el análisis económico de la producción y el gasto en las economías de América Latina y el Caribe",1) Industria farmacéutica y de ciencias de la vida; 2) Industria de dispositivos médicos;  13) Gestión sostenible del agua;,1,"1, 2, 4, 13",,"ESTADÍSTICAS ECONÓMICAS, DESARROLLO INDUSTRIAL, COMERCIO DE BIENES Y SERVICIOS, AGRICULTURA Y DESARROLLO RURAL, ECONOMETRÍA, CIENCIA DE DATOS, ESTADÍSTICAS SOCIALES"
DE,Medición de la Cooperación Sur Sur orientada al cumplimiento de los Objetivos de Desarrollo Sostenible,DE-25/26-8,25/26,,"medición de la cooperación, objetivos de desarrollo sostenible, cumplimiento de metas, cooperación sur-sur",8) Insuficiente integración económica regional; 10) Espacios fiscales limitados y altos costos del financiamiento,Se espera contar con mediciones armonizadas entre países que den cuenta de los recursos movilizados para la Cooperación Sur Sur,No asociado a un sector en particular,"8, 10",4,,"COOPERACIÓN INTERNACIONAL, DESARROLLO SOSTENIBLE, AGENDA 2030 PARA EL DESARROLLO SOSTENIBLE, INDICADORES DE LOS OBJETIVOS DE DESARROLLO SOSTENIBLE (ODS)"
DAG,"Transformaciones en los ámbitos político, económico, social, cultural y ambiental para impulsar la sociedad del cuidado y la igualdad de género",DAG-25/26-1,25/26,"En preparación para la XVI CRM, la División de Asuntos de Género elaborará su documento de posición enfocado en las transformaciones necesarias para la sociedad del cuidado. También elaborará un informe regional de la Estrategia de Montevideo en relación con sus ejes de financiamiento y cooperación. -Documento de posición - Informe Regional de la Estrategia de Montevideo (ejes 5 y 8).","transformaciones sociales, sociedad del cuidado, igualdad de género, estrategia de financiamiento, cooperación","La principal brecha abordada es la alta desigualdad de género También se desarrollarán temas relacionados al desarrollo ambientalmente no sostenible y cambio climático; crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal; espacios fiscales limitados y altos costos del financiamiento; alta desigualdad y baja movilidad y cohesión sociales; importantes brechas en la protección social;","Desarrollo de capacidades técnicas, políticas y prospectivas",De manera preliminar se ha identificado como sector primario de impacto el sector de los cuidados.,"1, 2, 3, 5, 9, 10",5,,"GÉNERO, AUTONOMÍA ECONÓMICA DE LAS MUJERES, IGUALDAD DE GÉNERO, POLÍTICAS DE CUIDADO, SOCIEDAD DEL CUIDADO, DESARROLLO SOSTENIBLE, COOPERACIÓN INTERNACIONAL"
DAG,Sistemas y políticas de cuidados para el desarrollo sostenible con igualdad,DAG-25/26-2,25/26,"La investigación busca brindar orientaciones para el diseño e implementación de sistemas y políticas de cuidados a nivel regional y global Se dará especial atención a los cuidados comunitarios y cuidados en los territorios y se continuará con la línea de investigación previamente desarrollada por la DAG en el año 2020 en cuanto a cuidados y migración, con un enfoque en las cadenas globales de cuidados - Publicación sobre sistemas y políticas de cuidados  (enfoques promisorios, buenas prácticas, ejemplos) - Publicación sobre cuidados comunitarios y cuidados en el territorio - Publicación sobre la formalización y certificación de trabajadoras y trabajadores en el sector de cuidados -  Policy brief sobre desafíos emergentes para los sistemas de cuidados (long term care) - Policy brief sobre cadenas globales de cuidados","sistemas de cuidados, políticas de cuidados, cuidados comunitarios, cuidados en el territorio, formalización de trabajadoras, certificación de trabajadores, desafíos emergentes, cadenas globales de cuidados",La principal brecha abordada es la alta desigualdad de género. También se incluirán temas relacionados a brechas en la protección social y; alta desigualdad y baja movilidad y cohesión sociales,"Se espera fortalecer las capacidades de diseño e implementación de políticas y sistemas integrales, reorganizar programas, infraestructuras y servicios existentes en función de nuevas prioridades, y crear nuevos que pongan al centro la distribución de las cargas de trabajo no remunerado. A su vez, se espera fortalecer las capacidades políticas, creando y promoviendo espacios de colaboración y coordinación efectiva entre los diferentes niveles de gobierno -nacional, subnacional y local- para el diseño e implementación de políticas integrales de cuidado.",De manera preliminar se ha identificado como sector primario de impacto el sector de los cuidados.,"2, 3, 9",5,¿Qué sistemas y políticas de cuidados debiera impulsar la CEPAL?,"POLÍTICAS DE CUIDADO, IGUALDAD DE GÉNERO, ECONOMÍA DEL CUIDADO, SOCIEDAD DEL CUIDADO, EMPLEO"
DAG,Política exterior feminista para el desarrollo feminista,DAG-25/26-3,25/26,"Se busca desarrollar un marco conceptual y operacional para la institucionalidad de las PEF para países que se encuentran en procesos de formular sus PEF y para orientar a otros países que decidan iniciar esta transformación de su política exterior y de cooperación internacional en América Latina y el Caribe y desde el Sur Global. - Diez años de política exterior feminista y política de cooperación internacional para el desarrollo feminista - Guía de transversalización de la perspectiva de género en cooperación internacional para el desarrollo  - Publicación de análisis cuantitativo y cualitativo comparado sobre participación de las mujeres en la carrera diplomática, en las negociaciones internacionales y liderazgo en temas cruciales de desarrollo - Documento con contenidos curriculares y lineamientos de formación sugeridos para su adopción por parte de las academias diplomáticas de Chile, Colombia y México","política exterior feminista, desarrollo feminista, institucionalidad, cooperación internacional, transversalización de género, análisis comparado, formación diplomática",La principal brecha abordada es la alta desigualdad de género,"La investigación tiene como objetivo, el fortalecer las capacidades de los Ministerios de Relaciones Exteriores y Agencias de Cooperación Internacional de Chile, Colombia y México en el diseño e implementación de las Políticas Exteriores Feministas y de Cooperación Internacional para el Desarrollo con perspectiva de género. Esto se logrará mediante un trabajo diagnóstico, de análisis y de intercambios entre los socios a través del establecimiento de una comunidad de práctica sobre Política Exterior Feminista y de Cooperación internacional feminista.",,"2, 9",,,"GÉNERO, COOPERACIÓN INTERNACIONAL, DERECHOS HUMANOS, POLÍTICAS PÚBLICAS, IGUALDAD DE GÉNERO, PARTICIPACIÓN POLÍTICA DE LAS MUJERES"
DAG,Las políticas de cuidados y su vínculo con el diseño de la protección social y las transformaciones fiscales urgentes para la igualdad y el crecimiento,DAG-WL-1,WL,Las políticas de cuidados se abordan como un elemento que complementa y transforma los sistemas de protección social. Las características de los sistemas de protección social de cada país en materia de cobertura y calidad tienen un fuerte vínculo con los debates sobre políticas de cuidado y con el desarrollo de sistemas integrales de cuidados. ,"políticas de cuidados, diseño de la protección social, transformaciones fiscales, igualdad, crecimiento económico","Las principales brechas abordadas son la alta desigualdad de género e importantes brechas en la protección social La creación y fortalecimiento de políticas de cuidado impacta en el acceso y calidad del empleo, la cobertura de seguridad social, la salud, las normas laborales y la educación. Se requiere una mirada integral del Estado que lidera estrategias, políticas y sistemas de cuidado en diálogo con los componentes de la protección social, adaptándose a cada contexto.",,De manera preliminar se ha identificado como sector primario de impacto el sector de los cuidados.,"2, 3, 9",5,¿Qué sistemas y políticas de cuidados debiera impulsar la CEPAL?,"POLÍTICAS DE CUIDADO, PROTECCIÓN SOCIAL, ASUNTOS FISCALES, IGUALDAD DE GÉNERO, CRECIMIENTO ECONÓMICO, POLÍTICAS PÚBLICAS, ECONOMÍA DEL CUIDADO"
DAG,La dimensión ambiental del cuidado,DAG-WL-2,WL,"Se buscaría comprender las interrelaciones entre cambio climático, degradación ambiental y organización de los cuidados. Se analizaría el impacto en territorios y comunidades, el rol de mujeres indígenas y defensoras ambientales, el derecho al agua y energía, las energías limpias y tecnologías en una transición justa, el papel de los cuidados en economías sostenibles y la movilidad urbana.","cambio climático, degradación ambiental, organización de cuidados, defensoras ambientales, derecho al agua, energías limpias, tecnologías sostenibles",Las principales brechas abordadas serían la alta desigualdad de género y desarrollo ambientalmente no sostenible y cambio climático. Se tratarían también subtemas como: potenciar acciones de mitigación y adaptación de mujeres; garantizar infraestructura; fortalecer representación de mujeres; reconocer pueblos indígenas; recuperar saberes; explorar corresponsabilidad con tecnología; analizar impactos de infraestructuras resilientes; articular agendas emancipatorias; integrar cuidado de personas y planeta en lo climático; y promover transformación digital incluyente para mujeres.,…,De manera preliminar se ha identificado como sector primario de impacto el sector de los cuidados.,"1, 2, 5, 9",5,"¿Cuáles son las interrelaciones entre cambio climático, degradación ambiental y organización de los cuidados?","CAMBIO CLIMÁTICO, MEDIO AMBIENTE, GÉNERO, PUEBLOS INDÍGENAS Y AFRODESCENDIENTES, ECONOMÍA DEL CUIDADO, ENERGÍA, DESARROLLO SOSTENIBLE"
DDSAH,"Análisis de regulaciones, incentivos o instrumentos fiscales y financieros y sistemas de información para países miembros para fortalecer la transición hacia una economía circular.",DDSAH-25/26-1,25/26,,"análisis de regulaciones, incentivos fiscales, instrumentos financieros, sistemas de información, economía circular",Las brechas o desafíos del desarrollo atendidos en la investigación son básicamente asociados a un desarrollo ambientalmente no sostenible.,"Las capacidades TOPP atendidas son: 1) Capacidades Operativas - Articular la colaboración entre diversos entes gubernamentales y otros actores de las distintas cadenas de valor para que efectúen de forma conjunta y con visión sistémica la transición hacia la economía circular; Impulsar los clústeres de sectores para elaborar las estrategias de economía circular, con vistas a aumentar el intercambio y aprovechamiento de subproductos y residuos a nivel intra- e intersectorial; Capacidades Políticas - Armonizar e implementar políticas, normativas e incentivos que favorezcan modelos de negocio circulares; Capacidades Prospectivas - identificar barreras y oportunidades en la adopción de prácticas de economía circular","Economía Circular, específicamente la identificación de oportunidades de adopción de instrumentos, reglamentos e inversiones hacia la circularidad en términos nacionales y regionales. ","1, 5",10,"¿Para qué países las restricciones financieras, incluyendo las fiscales, mejorarían por efectos de la transición energética y para qué países las condiciones financieras se deteriorarían?","ECONOMÍA CIRCULAR, ASUNTOS FISCALES, FINANCIAMIENTO PARA EL DESARROLLO, DESARROLLO SOSTENIBLE, GESTIÓN PÚBLICA, GOBERNANZA DE LOS RECURSOS NATURALES"
DDSAH,Guía para la transversalización de la perspectiva de género en la implementación del Acuerdo de Escazú,DDSAH-25/26-2,25/26,"La guía busca responder a las siguientes preguntas:  ¿Cómo pueden los Estados Partes integrar y reforzarla perspectiva de género en las materias relativas al Acuerdo de Escazú?  ¿De qué manera se puede fomentar la participación plena y efectiva de las mujeres en toda su diversidad y la incorporación de la perspectiva de igualdad de género en la aplicación del Acuerdo, en particular en los planes y hojas de ruta de implementación nacional que elaboren?","perspectiva de género, implementación de acuerdos, participación de la mujer, igualdad de género, planes de implementación",Brechas 5) Desarrollo ambientalmente no sostenible y cambio climático; y 9) Alta desigualdad de género. Entre los subtemas a estudiar se encuentran las principales barrearas que enfrentan las mujeres en el ejercicio de los derechos de acceso y las particularidades de género en la defensa de los derechos humanos en asuntos ambientales,Por medio de la guía se espera dar orientaciones a las Partes para una mejor transversalización de la perspectiva de género en la implementación del Acuerdo. ,"Apoya de manera transversal a varios sectores impulsores: 5) Sociedad del cuidado; 7) Gobierno digital; 8) Transición energética: energías renovables, hidrógeno verde, litio; 9) Electromovilidad; 10) Economía circular; 11) Bioeconomía: agricultura sostenible, recursos genéticos, bioindustrialización; 12) Agricultura para la seguridad alimentaria; 13) Gestión sostenible del agua; 14) Turismo sostenible; ","1, 2, 5, 9","4, 5, 7, 8, 9, 10, 11, 12, 13, 14",¿Cómo pueden los Estados Partes integrar y reforzar la perspectiva de género en las materias relativas al Acuerdo de Escazú?,"GÉNERO, DERECHOS HUMANOS, DESARROLLO SOSTENIBLE, PARTICIPACIÓN POLÍTICA DE LAS MUJERES, IGUALDAD DE GÉNERO, PRINCIPIO 10 - ACUERDO DE ESCAZÚ, MEDIO AMBIENTE"
